RELEASE ; FILENAME ; NR ; NAUTH ; ChgSize ; LOCAdded ; Churn ; BUGGYNESS 
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;7;1;1197;28;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;21;2;1883;126;-14;null
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;0;0;0;0;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;0;0;0;0;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;7;1;651;21;7;null
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;6;1;204;30;30;null
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;0;0;0;0;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;0;0;0;0;0;null
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;6;1;204;18;0;null
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;7;1;1197;7;0;null
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;5;1;390;5;0;YES
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;12;1;1587;89;0;YES
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;5;1;390;10;0;YES
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;37;3;1632;532;460;YES
1;hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java;83;3;2440;145078;54640;NO
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;7;1;1197;14;0;null
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;21;2;554;136;125;null
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;12;2;1272;302;295;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;19;2;1933;377;12;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;35;3;2425;327;19;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;29;4;2175;261;15;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;17;2;1965;363;7;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;5;1;30;10;-35;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;88;3;1907;1794;1617;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;13;2;855;34;7;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;7;1;1197;7;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;11;2;219;49;49;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;44;2;1818;369;322;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;114;3;3019;3408;1897;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;13;2;1293;130;18;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;7;1;1197;7;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;13;2;1293;55;48;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;7;1;1197;21;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;23;3;1518;221;119;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;60;3;2554;1118;366;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;23;3;1448;232;184;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;103;3;3212;1394;918;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;7;1;1197;14;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;33;3;2291;100;-12;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;90;4;2739;5773;2804;NO
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;7;1;1197;14;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;24;3;2073;123;42;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;44;4;2713;527;377;YES
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;0;0;0;0;0;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;12;2;1337;27;5;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;18;2;1400;78;43;null
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;7;1;1197;7;0;null
